hg19.kgXref.geneSymbol	DMSO_H3K27me3	DMSO_H3K4me1	DMSO_H3K4me2	DMSO_H3K4me3	Drug_H3K27me3	Drug_H3K4me1	Drug_H3K4me2	Drug_H3K4me3
FOXC1	0.001878299	0.24495957	1.603719637	1.653540098	0.007819439	0.357283877	1.289592237	0.751618041
RPP40	0.01119912	0.069717396	0.236104019	0.073030443	0.015188751	0.048540008	0.133760212	0.070076345
RPP40	0.01119912	0.069717396	0.236104019	0.073030443	0.015188751	0.048540008	0.133760212	0.070076345
AK094934	0.027112395	0.054867407	0.041640727	0.031822628	0.03133249	0.057497848	0.04287453	0.033038696
RPP40	0.001926459	0.055430375	0.08789186	0.083553513	0.001378593	0.057430275	0.060898643	0.112639259
RPP40	0.041378638	0.054483441	0.028813806	0.020037331	0.039425853	0.048530124	0.040731025	0.019230444
AK094934	0.038614739	0.057555669	0.064489386	0.066876278	0.038215969	0.050737991	0.087871246	0.028153303
RPP40	0.038614739	0.057555669	0.064489386	0.066876278	0.038215969	0.050737991	0.087871246	0.028153303
RPP40	0.038614739	0.057555669	0.064489386	0.066876278	0.038215969	0.050737991	0.087871246	0.028153303
AK094934	0.038510484	0.058164017	0.065809002	0.068973939	0.038019539	0.050607066	0.089546761	0.028821559
BC133670	0.037072508	0.030334148	0.071794035	0.019041701	0.043973885	0.02290994	0.039751721	0.01993127
BC042032	0.027053925	0.130836082	0.053381957	0.028496628	0.029139884	0.152856574	0.069480379	0.041437432
PPP1R3G	0.02525514	0.121844607	0.049551409	0.028076744	0.02730873	0.142561065	0.064100095	0.040314196
LYRM4	0.046526644	0.11724746	2.817901942	1.962266445	0.01381213	0.150866086	2.329915413	1.624336213
LYRM4	0.025232119	0.121892106	0.047743817	0.027105093	0.027320167	0.141774422	0.061823373	0.03969165
LYRM4	0.023316575	0.076409277	0.030847525	0.030154635	0.028128183	0.099619524	0.034516684	0.038337367
MIR3691	0.050895134	0.068807362	0.298727086	0.129894865	0.05768081	0.060188165	0.146232076	0.065995903
LYRM4	0.050895134	0.068807362	0.298727086	0.129894865	0.05768081	0.060188165	0.146232076	0.065995903
SSR1	0.049964124	0.058850475	0.258130728	0.120261991	0.057011863	0.053336407	0.099442684	0.060884433
CAGE1	0.04862418	0.052871708	0.200245658	0.106306299	0.056697726	0.04360217	0.084663885	0.060937086
CAGE1	0.034221639	0.016500583	0.009834317	0.028617068	0.035661618	0.021850925	0.034687452	0.044638364
CAGE1	0.034221639	0.016500583	0.009834317	0.028617068	0.035661618	0.021850925	0.034687452	0.044638364
CAGE1	0.064405361	0.20508801	1.248571631	0.504560978	0.071070226	0.191904856	0.876608913	0.349441488
CAGE1	0.005429997	0.212160711	1.773952091	1.63188833	0.00887489	0.295279539	1.391375763	0.749492488
CAGE1	0.013737987	0.116244601	0.128030691	0.068610558	0.027195026	0.119098859	0.166110285	0.067491003
CAGE1	0.011053184	0.116387765	0.160095833	0.083724564	0.02266166	0.139973034	0.215541505	0.085803038
CAGE1	0.013737503	0.116160376	0.127809304	0.068523834	0.027202529	0.11903048	0.165871765	0.067431186
CAGE1	0.013737503	0.116160376	0.127809304	0.068523834	0.027202529	0.11903048	0.165871765	0.067431186
CAGE1	0.013737503	0.116160376	0.127809304	0.068523834	0.027202529	0.11903048	0.165871765	0.067431186
CAGE1	0.013737503	0.116160376	0.127809304	0.068523834	0.027202529	0.11903048	0.165871765	0.067431186
CAGE1	0.013726747	0.114290997	0.122892755	0.066598665	0.02736921	0.117513267	0.160576782	0.066103196
CAGE1	0.014016971	0.061331356	0.028252489	0.027683933	0.026283678	0.062199464	0.045007373	0.03660588
CAGE1	0.006263952	0.261452704	0.292723622	0.308699681	0.004397057	0.263220025	0.256570607	0.214251726
CAGE1	0.010187735	0.029109791	0.017139827	0.037273085	0.015711701	0.138162638	0	0.042698844
CAGE1	0.011112791	0.041980967	0.147695539	0.204640949	0.020009448	0.053716767	0.118461807	0.160718201
CAGE1	0.011112791	0.041980967	0.147695539	0.204640949	0.020009448	0.053716767	0.118461807	0.160718201
CAGE1	0.011112791	0.041980967	0.147695539	0.204640949	0.020009448	0.053716767	0.118461807	0.160718201
CAGE1	0.010976174	0.039718618	0.136695507	0.191004795	0.020009936	0.052681142	0.101462103	0.154699816
CAGE1	0.002620853	0.11756983	0.117589283	0.081537423	0.002396595	0.113738027	0.113184238	0.046254565
CAGE1	0	0.068443898	0.009237912	0.041209024	0	0.120894709	0.016779805	0.036627133
CAGE1	0.001131216	0.166990587	0.211329961	0.113598069	0.003556592	0.202919933	0.169456772	0.09779345
CAGE1	0.001280603	0.182196563	0.305344296	0.141756436	0.008917777	0.234708199	0.260355441	0.123581822
CAGE1	0.012348332	0.153325047	0.042092858	0.029180033	0.014984922	0.144922682	0.023785324	0.02225184
CAGE1	0.010961751	0.232621671	0.111820987	0.046007124	0.010348777	0.210779096	0.063887476	0.031132835
TMEM170B	0.011094329	0.232329502	0.212611068	0.117856168	0.009937687	0.215684316	0.133273139	0.155541587
JARID2	0.004271834	0.979317516	1.128513401	0.819804787	0.001715138	1.153840724	0.784771384	0.538851586
JARID2	0.004271834	0.979317516	1.128513401	0.819804787	0.001715138	1.153840724	0.784771384	0.538851586
BC033996	0.004271834	0.979317516	1.128513401	0.819804787	0.001715138	1.153840724	0.784771384	0.538851586
JARID2	0.004271834	0.979317516	1.128513401	0.819804787	0.001715138	1.153840724	0.784771384	0.538851586
JARID2	0.004271834	0.979317516	1.128513401	0.819804787	0.001715138	1.153840724	0.784771384	0.538851586
JARID2	0.004237794	0.980049757	1.124436903	0.820205136	0.001694683	1.156540152	0.778507384	0.537970766
JARID2	0.004237794	0.980049757	1.124436903	0.820205136	0.001694683	1.156540152	0.778507384	0.537970766
BC033996	0.004237794	0.980049757	1.124436903	0.820205136	0.001694683	1.156540152	0.778507384	0.537970766
JARID2	0.004237794	0.980049757	1.124436903	0.820205136	0.001694683	1.156540152	0.778507384	0.537970766
JARID2	0.002618251	1.135151704	0.972966762	0.555631349	0.000992465	1.218925452	0.562845698	0.398352669
JARID2	0.002068787	1.192533139	0.916962406	0.125137313	0.000759235	1.377377886	0.486544252	0.335742761
JARID2	0.001816025	1.203810177	0.715509341	0.090511762	0.000407066	1.298766348	0.375442432	0.075524246
BC033996	0.000191845	0.877443659	0.965206421	0.442714534	0.001010448	0.732122804	0.80855409	0.347533595
JARID2	0.000191845	0.877443659	0.965206421	0.442714534	0.001010448	0.732122804	0.80855409	0.347533595
JARID2	0.000191845	0.877443659	0.965206421	0.442714534	0.001010448	0.732122804	0.80855409	0.347533595
JARID2	0.000191845	0.877443659	0.965206421	0.442714534	0.001010448	0.732122804	0.80855409	0.347533595
JARID2	0.02087947	0.172079413	0.089300579	0.042302212	0.024022315	0.157072509	0.057436762	0.046865947
JARID2	0.020880066	0.172064601	0.089303699	0.042319717	0.024022334	0.157074894	0.057459468	0.046873454
JARID2	0.020880066	0.172064601	0.089303699	0.042319717	0.024022334	0.157074894	0.057459468	0.046873454
JARID2	0.023634736	0.177204664	0.110636749	0.05982129	0.026464263	0.139894008	0.08819374	0.049905783
JARID2	0.019936197	0.171513319	0.091449855	0.052499285	0.023430389	0.162764149	0.05541601	0.027056885
RBM24	0.098820159	0.158307886	0.029057877	0	0.03515815	0.314013731	0.136101548	0
RBM24	0.01783392	0.671749861	1.044023089	0.216968581	0.023157911	0.472905747	0.684657661	0.119926903
RBM24	0.009223006	0.135041472	0.303784055	0.187614397	0.009043957	0.151404454	0.190939118	0.058314066
RBM24	0.009223006	0.135041472	0.303784055	0.187614397	0.009043957	0.151404454	0.190939118	0.058314066
RBM24	0.015938969	0.593704255	0.746718169	0.622968005	0.017441489	0.545887637	0.62563764	0.452669089
RBM24	0.015938969	0.593704255	0.746718169	0.622968005	0.017441489	0.545887637	0.62563764	0.452669089
RBM24	0.014218581	0.58863132	0.724796469	0.531646231	0.013684068	0.531983006	0.640229339	0.397003778
RBM24	0.013821017	0.575206135	0.707294125	0.434633037	0.010801273	0.522911645	0.584267552	0.313371332
RBM24	0.013809134	0.574677309	0.706607376	0.43069031	0.010690196	0.522641622	0.58206882	0.310055394
RBM24	0.060969281	0.154278845	0.177317111	0.058650601	0.06212938	0.214609993	0.121660064	0.037533133
RBM24	0.065686996	0.090907564	0.027561888	0.01891986	0.059511564	0.145500751	0.035901526	0.019124003
RBM24	0.043351707	0.012491252	0.048918625	0.034288527	0.061974229	0.004591057	0.05396353	0.050039973
RBM24	0.008598116	0.117870646	0.095130231	0.05641075	0.009080842	0.083613046	0.042143676	0.096889701
RBM24	0.008597068	0.117834782	0.095022235	0.056251456	0.009080838	0.083591276	0.04209496	0.096775375
RBM24	0.011592912	0.075943578	0.198074919	0.16148738	0.008383528	0.050141695	0.211712737	0.055334052
RBM24	0.022915365	0.221569931	0.783832809	0.649091619	0.022063144	0.247759925	0.787020303	0.450685287
RBM24	0.01781995	0.214488998	0.747597204	0.669666179	0.016509151	0.244492314	0.696091998	0.539368382
RBM24	0.004203587	0.190242197	1.053047143	1.470526922	0.003559853	0.264033959	1.019076442	1.050023314
RBM24	0.004478497	0.09385453	0.199040645	0.185630077	0.004594772	0.10218775	0.184898936	0.126871529
RBM24	0.003278543	0.109786872	0.03562835	0.056980049	0.007885418	0.081071604	0.112436987	0.043988499
RBM24	0.003278543	0.109786872	0.03562835	0.056980049	0.007885418	0.081071604	0.112436987	0.043988499
RBM24	0.00484923	0.129868733	0.041883436	0.049649913	0.009110991	0.094484235	0.100767747	0.038796541
RBM24	0.00484923	0.129868733	0.041883436	0.049649913	0.009110991	0.094484235	0.100767747	0.038796541
