Gene	DMSO_rep1	DMSO_rep2	E2_rep1	E2_rep2
TSPAN6	101	89	92	122
TNMD	0	0	0	0
DPM1	392	403	407	527
SCYL3	193	198	127	133
C1orf112	86	82	83	76
FGR	0	0	4	2
CFH	0	0	0	0
FUCA2	300	321	328	356
GCLC	301	264	394	422
NFYA	198	194	188	234
STPG1	19	20	12	13
NIPAL3	202	199	212	254
LAS1L	213	216	237	314
ENPP4	26	27	14	11
SEMA3F	306	272	185	220
CFTR	0	0	0	0
ANKIB1	972	1007	966	1109
CYP51A1	50	45	42	71
KRIT1	461	458	409	477
RAD52	38	40	35	40
MYH16	0	0	0	0
BAD	114	84	76	105
LAP3	219	201	250	330
CD99	405	400	321	429
HS3ST1	0	0	0	0
AOC1	0	0	0	1
WNT16	0	0	1	0
HECW1	1	0	3	3
MAD1L1	114	130	118	145
LASP1	593	544	712	819
SNX11	77	79	68	92
TMEM176A	0	0	0	0
M6PR	553	525	499	614
KLHL13	170	174	89	80
CYP26B1	1	5	2	6
ICA1	470	488	350	474
DBNDD1	159	173	164	229
ALS2	171	164	134	142
CASP10	2	3	1	3
CFLAR	484	514	338	411
TFPI	141	159	95	118
NDUFAF7	95	86	101	118
RBM5	364	356	221	317
MTMR7	0	0	0	1
SLC7A2	2652	2548	4446	5327
ARF5	336	313	255	337
SARM1	3	4	3	1
POLDIP2	264	282	302	370
PLXND1	81	65	96	109
AK2	368	347	562	665
CD38	0	0	0	1
FKBP4	622	557	1827	2332
KDM1A	417	419	468	563
RBM6	316	297	266	334
CAMKK1	3	7	4	4
RECQL	106	130	126	179
VPS50	318	306	268	319
HSPB6	0	0	0	2
ARHGAP33	29	38	20	23
NDUFAB1	253	271	263	363
PDK4	7	6	6	8
SLC22A16	0	0	0	0
ZMYND10	6	5	5	7
ABCB5	0	3	1	1
ARX	3	0	7	7
SLC25A13	403	423	427	566
ST7	66	55	43	65
CDC27	627	625	524	572
SLC4A1	0	0	0	0
CALCR	6	10	3	2
HCCS	136	120	135	194
DVL2	182	173	149	182
PRSS22	112	99	40	53
UPF1	791	766	1017	1266
SKAP2	420	411	325	391
SLC25A5	1052	1006	1111	1450
MCUB	125	145	138	139
HOXA11	1	3	8	6
POLR2J	97	105	98	118
DHX33	79	73	132	193
MEOX1	0	0	0	0
THSD7A	0	0	1	0
LIG3	198	242	185	275
RPAP3	192	204	179	196
ACSM3	6	9	4	5
REXO5	85	76	72	107
CIAPIN1	154	164	144	218
SPPL2B	102	90	82	101
FAM214B	80	64	40	67
COPZ2	19	16	13	28
PRKAR2B	69	72	93	136
MSL3	78	91	83	99
CREBBP	896	933	724	865
TSPOAP1	0	0	0	0
MPO	0	0	0	0
PON1	0	0	0	0
GCFC2	135	125	137	155
WDR54	110	105	88	108
CROT	368	352	472	518
ABCB4	33	52	21	20
KMT2E	670	693	552	650
RHBDD2	383	387	380	510
SOX8	0	0	1	5
IBTK	1079	1091	1096	1266
ZNF195	103	124	152	182
MYCBP2	1361	1445	844	1005
FBXL3	556	556	329	397
ITGAL	1	1	1	2
PDK2	224	198	201	209
ITGA3	355	388	302	390
ZFX	434	434	422	541
LAMP2	1187	1195	1016	1207
	325	311	294	386
ITGA2B	15	6	13	13
ASB4	0	1	0	1
GDE1	566	544	555	547
REX1BD	53	103	74	78
CRLF1	23	14	17	29
OSBPL7	130	119	99	153
TMEM98	1	0	2	1
YBX2	82	81	81	95
KRT33A	0	0	0	0
MAP3K14	14	13	28	35
ABCC8	24	19	40	47
	0	0	0	0
	0	0	0	0
	239	224	202	234
CACNG3	0	0	0	0
TMEM132A	1081	1077	865	1105
AP2B1	740	700	726	789
TAC1	0	0	0	0
ZNF263	313	326	406	538
CX3CL1	1	1	0	1
SPATA20	788	747	618	794
CACNA1G	1	0	1	2
TNFRSF12A	216	230	279	336
DLX6	0	0	0	0
MAP3K9	326	340	377	476
RALA	203	238	205	293
BAIAP2L1	128	100	167	166
KDM7A	127	133	296	340
ETV1	0	0	0	0
AGK	151	134	122	162
ALDH3B1	63	56	69	69
TTC22	22	20	6	8
PHTF2	1111	1062	923	1146
CCL26	0	0	0	0
FARP2	208	199	208	246
USH1C	0	0	0	0
GGCT	524	540	502	654
DBF4	324	322	553	608
TBXA2R	6	1	2	4
IFRD1	97	88	169	173
LGALS14	0	0	0	0
COX10	53	46	81	72
GTF2IRD1	237	218	115	152
PAF1	419	359	336	447
VPS41	390	361	309	360
ARHGAP44	12	12	12	9
ELAC2	249	224	314	332
SCIN	21	19	22	20
ARSD	666	644	489	567
PNPLA4	46	51	31	45
MYH13	0	0	0	0
ADIPOR2	484	466	520	668
CDKL3	3	2	3	6
UPP2	0	0	0	0
PRSS21	0	0	0	0
MARK4	143	145	119	141
PROM1	0	0	0	0
CCDC124	98	99	101	148
CEACAM21	0	0	0	0
PAFAH1B1	484	470	436	511
NOS2	0	0	0	0
DNAH9	2	1	2	3
KIAA0100	1399	1359	1631	2076
SLC13A2	0	0	0	0
GAS7	1	1	1	2
TRAPPC6A	185	158	130	168
MATK	16	38	45	63
CEACAM7	6	4	2	4
CD79B	0	0	0	0
SCN4A	0	0	0	0
ST7L	84	94	71	72
TKTL1	0	0	0	0
PAX6	1	0	0	0
RPUSD1	131	148	294	376
RHBDF1	323	340	218	308
LUC7L	242	234	247	316
CACNA2D2	37	37	55	41
BAIAP3	121	141	106	150
TSR3	146	170	191	204
PIGQ	278	307	303	394
CRAMP1	149	164	140	191
TEAD3	167	135	116	154
SELE	0	1	0	0
DNAJC11	191	170	237	287
FMO3	0	0	0	0
MYLIP	402	368	280	348
NOX1	0	0	1	0
E2F2	78	65	80	125
PSMB1	417	366	326	438
SYN1	0	0	0	0
JARID2	666	648	2180	2622
CDKL5	103	90	68	71
CAMK1G	0	0	0	0
CDK11A	9	10	13	18
NADK	183	190	202	239
TFAP2B	14	10	0	3
TFAP2D	0	0	0	0
DLEC1	3	1	0	2
CYTH3	57	43	17	31
ADAM22	140	160	71	104
SYPL1	648	696	765	874
CYB561	686	734	696	921
SPAG9	872	866	919	1105
CELSR3	191	197	230	260
AASS	2	1	1	1
PLEKHG6	1	2	0	0
SS18L2	36	38	48	45
MPND	90	114	78	105
MGST1	579	598	489	577
CRY1	167	172	203	252
PGLYRP1	0	0	0	0
NFIX	21	21	24	30
ST3GAL1	1019	982	467	683
MMP25	6	12	10	11
IL32	0	0	0	0
PKD1	338	320	363	424
MAPK8IP2	25	29	15	22
MED24	217	212	222	268
RHOBTB2	137	111	138	175
HEATR5B	528	508	520	682
SEC62	901	882	1015	1161
RPS20	639	594	568	680
CSDE1	22735	22652	19694	23902
UBE3C	797	740	1041	1220
REV3L	637	705	736	863
TENM1	0	0	0	0
PAX7	2	0	0	0
MASP2	1	0	0	0
IYD	1	3	5	4
FAM76A	57	54	53	63
TRAF3IP3	0	0	0	0
POMT2	60	45	147	217
VTA1	371	360	331	389
MLXIPL	31	26	21	44
BAZ1B	3148	3135	3731	4398
RANBP9	742	701	579	636
ETV7	0	0	0	0
SPRTN	92	101	98	104
METTL13	255	227	289	364
DYRK4	26	13	21	14
ZNF207	626	649	651	810
UQCRC1	317	289	247	333
STARD3NL	56	69	64	78
CD9	956	1099	1001	1339
HHATL	0	0	0	0
NCAPD2	641	553	468	533
IFFO1	0	0	0	0
GIPR	6	2	3	2
PHF7	23	14	17	19
SEMA3G	0	0	27	24
NISCH	239	204	240	224
STAB1	0	0	0	0
FUZ	28	31	16	32
SLC6A13	0	0	0	0
IDS	137	147	95	119
PRSS3	0	0	0	0
ZNF200	105	119	131	177
CD4	0	0	0	0
LRRC23	27	22	9	17
BTK	0	1	0	0
HFE	125	99	84	99
SCMH1	70	64	49	67
FYN	0	0	2	1
HIVEP2	275	271	163	194
FMO1	0	0	0	0
ELOA	425	386	480	604
LYPLA2	156	168	180	221
CLCN6	58	54	59	75
MRC2	29	32	27	14
NME1-NME2	0	0	0	0
