"gname.list"	"g.order"
"chr1_3002560"	11
"chr1_3130417"	12
"chr1_6161327"	20
"chr1_6543442"	23
"chr1_6671998"	24
"chr1_6751068"	25
"chr1_7020836"	28
"chr1_8262900"	37
"chr1_9923252"	43
"chr1_11132402"	54
"chr1_11434778"	55
"chr1_12546675"	60
"chr1_15252750"	64
"chr1_15342495"	66
"chr1_15352149"	68
"chr1_15556605"	70
"chr1_15611703"	71
"chr1_15789792"	73
"chr1_16935054"	77
"chr1_16950760"	79
"chr1_17356176"	80
"chr1_17571960"	85
"chr1_17641517"	86
"chr1_17856136"	89
"chr1_17886594"	90
"chr1_17888186"	91
"chr1_17904296"	92
"chr1_18710823"	99
"chr1_19752415"	101
"chr1_19753785"	102
"chr1_19908930"	104
"chr1_21581340"	111
"chr1_21595086"	112
"chr1_21948744"	113
"chr1_22799347"	119
"chr1_22952552"	122
"chr1_24327912"	125
"chr1_24894694"	128
"chr1_24932333"	131
"chr1_25802964"	134
"chr1_26083826"	136
"chr1_27165436"	137
"chr1_27868744"	140
"chr1_27971655"	142
"chr1_30855897"	146
"chr1_30871172"	147
"chr1_30934854"	148
"chr1_31659668"	150
"chr1_32210990"	155
"chr1_32798675"	162
"chr1_34126305"	164
"chr1_37961344"	173
"chr1_38078832"	174
"chr1_38887468"	177
"chr1_39644798"	181
"chr1_39721197"	182
"chr1_40496463"	184
"chr1_41162329"	186
"chr1_41269758"	187
"chr1_41385254"	189
"chr1_41926172"	195
"chr1_42244259"	199
"chr1_42289099"	201
"chr1_42328466"	205
"chr1_42356711"	208
"chr1_44105822"	217
"chr1_44296790"	218
"chr1_45040427"	221
"chr1_45090825"	222
"chr1_45985177"	225
"chr1_46318704"	227
"chr1_46871847"	228
"chr1_48360577"	231
"chr1_48386893"	233
"chr1_51772907"	234
"chr1_52007752"	235
"chr1_52033619"	236
"chr1_54684250"	242
"chr1_61962264"	255
"chr1_62108316"	257
"chr1_65449023"	262
"chr1_75118385"	268
"chr1_85225694"	272
"chr1_86296476"	275
"chr1_94065086"	279
"chr1_102900192"	284
"chr1_108299235"	287
