PeakID (cmd=annotatePeaks.pl ESR1_T2E.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_939	chr11	77970817	77971884	+	3189.72	NA	intron (NM_080491, intron 2 of 9)	NA	71385	NM_020798	57558	Hs.531249	NM_020798	ENSG00000118369	USP35	-	ubiquitin specific peptidase 35	protein-coding
MACS_peak_1636	chr15	39960515	39961170	+	3130.16	NA	intron (NM_152597, intron 10 of 11)	NA	87562	NM_003246	7057	Hs.164226	NM_003246	ENSG00000137801	THBS1	THBS|THBS-1|TSP|TSP-1|TSP1	thrombospondin 1	protein-coding
MACS_peak_714	chr10	117424075	117424683	+	3112.81	NA	intron (NM_207303, intron 26 of 28)	NA	529922	NR_145811	109623470		NR_145811		SNORD158	-	small nucleolar RNA, C/D box 158	snoRNA
MACS_peak_2253	chr17	64948223	64949015	+	3100.59	NA	Intergenic	NA	-12204	NM_014405	27092	Hs.514423	NM_014405	ENSG00000075461	CACNG4	-	calcium voltage-gated channel auxiliary subunit gamma 4	protein-coding
MACS_peak_3736	chr3	156259907	156260909	+	3100.00	NA	3' UTR (NM_001308205, exon 5 of 5)	NA	11506	NM_001308205	6747	Hs.518346	NM_007107	ENSG00000114850	SSR3	TRAPG	signal sequence receptor subunit 3	protein-coding
MACS_peak_1871	chr16	4418777	4419689	+	3100.00	NA	intron (NM_001351729, intron 9 of 27)	NA	-2616	NM_138440	114990	Hs.372579	NM_138440	ENSG00000168140	VASN	SLITL2	vasorin	protein-coding
MACS_peak_3137	chr20	47480515	47482290	+	3100.00	NA	Intergenic	NA	-36866	NM_020820	57580	Hs.153310	NM_020820	ENSG00000124126	PREX1	P-REX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	protein-coding
MACS_peak_4161	chr5	132584844	132585804	+	3100.00	NA	intron (NM_015082, intron 6 of 15)	NA	178074	NR_031621	100302134		NR_031621	ENSG00000221287	MIR1289-2	MIRN1289-2|hsa-mir-1289-2	microRNA 1289-2	ncRNA
MACS_peak_1749	chr15	75108934	75110175	+	3100.00	NA	intron (NM_021819, intron 4 of 13)	NA	4378	NM_021819	79748	Hs.620644	NM_021819	ENSG00000140506	LMAN1L	ERGIC-53L|ERGL	lectin, mannose binding 1 like	protein-coding
MACS_peak_4782	chr8	22596462	22597269	+	3100.00	NA	intron (NM_001363233, intron 4 of 6)	NA	-45872	NM_004430	1960	Hs.534313	NM_004430	ENSG00000179388	EGR3	EGR-3|PILOT	early growth response 3	protein-coding
MACS_peak_1265	chr12	132345035	132345827	+	3100.00	NA	Intergenic	NA	32493	NM_016155	4326	Hs.709245	NM_016155	ENSG00000198598	MMP17	MMP-17|MT4-MMP|MT4MMP|MTMMP4	matrix metallopeptidase 17	protein-coding
MACS_peak_2563	chr19	41426712	41427866	+	3100.00	NA	Intergenic	NA	-2881	NR_001278	1556	Hs.529117	NR_001278	ENSG00000256612	CYP2B7P	CYP2B|CYP2B7|CYP2B7P1	cytochrome P450 family 2 subfamily B member 7, pseudogene	pseudo
MACS_peak_2636	chr2	11672403	11672988	+	3100.00	NA	Intergenic	NA	-1476	NM_014668	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
MACS_peak_2637	chr2	11679458	11680585	+	3100.00	NA	promoter-TSS (NM_148903)	NA	76	NM_148903	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
MACS_peak_4906	chr8	103612835	103613863	+	3100.00	NA	Intergenic	NA	49532	NM_024410	4956	Hs.159274	NM_024410	ENSG00000155087	ODF1	CT133|HSPB10|ODF|ODF2|ODF27|ODFP|ODFPG|ODFPGA|ODFPGB|RT7|SODF	outer dense fiber of sperm tails 1	protein-coding
MACS_peak_3124	chr20	46703945	46705737	+	3100.00	NA	Intergenic	NA	-85980	NR_110027	101927457	Hs.445823	NR_110027		LINC01522	-	long intergenic non-protein coding RNA 1522	ncRNA
MACS_peak_1503	chr14	77866303	77867385	+	3100.00	NA	intron (NM_001113475, intron 5 of 5)	NA	22555	NM_001113475	122945	Hs.97556	NM_138791	ENSG00000165555	NOXRED1	C14orf148	NADP dependent oxidoreductase domain containing 1	protein-coding
MACS_peak_2159	chr17	38604700	38605533	+	3100.00	NA	intron (NM_001552, intron 1 of 3)	NA	5414	NM_001552	3487	Hs.462998	NM_001552	ENSG00000141753	IGFBP4	BP-4|HT29-IGFBP|IBP4|IGFBP-4	insulin like growth factor binding protein 4	protein-coding
MACS_peak_4877	chr8	98776231	98777067	+	3100.00	NA	Intergenic	NA	-11367	NM_018407	55353	Hs.492314	NM_018407	ENSG00000104341	LAPTM4B	LAPTM4beta|LC27	lysosomal protein transmembrane 4 beta	protein-coding
MACS_peak_4244	chr6	1641240	1642007	+	3100.00	NA	intron (NM_001253846, intron 9 of 10)	NA	31473	NM_001453	2296	Hs.348883	NM_001453	ENSG00000054598	FOXC1	ARA|ASGD3|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3	forkhead box C1	protein-coding
MACS_peak_1698	chr15	64237772	64238540	+	3100.00	NA	intron (NM_014326, intron 4 of 11)	NA	17683	NR_120344	101928988	Hs.673214	NR_120344	ENSG00000259351	LOC101928988	-	uncharacterized LOC101928988	ncRNA
