PeakID (cmd=annotatePeaks.pl ESR1_WTD.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_77	chr12	116828066	116828693	+	2577.02	NA	Intergenic	NA	37744	NR_039683	100616309		NR_039683	ENSG00000264037	MIR4472-2	-	microRNA 4472-2	ncRNA
MACS_peak_73	chr12	89858601	89859251	+	2094.99	NA	intron (NR_037659, intron 8 of 11)	NA	59647	NM_003774	8693	Hs.25130	NM_003774	ENSG00000257594	GALNT4	GALNAC-T4|GALNACT4	polypeptide N-acetylgalactosaminyltransferase 4	protein-coding
MACS_peak_300	chr8	116879596	116880211	+	1512.02	NA	Intergenic	NA	-198701	NM_001330599	7227	Hs.657018	NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	transcriptional repressor GATA binding 1	protein-coding
MACS_peak_133	chr17	38478424	38478977	+	1208.28	NA	intron (NM_001145302, intron 1 of 6)	NA	4203	NM_001145301	5914	Hs.654583	NM_000964	ENSG00000131759	RARA	NR1B1|RAR	retinoic acid receptor alpha	protein-coding
MACS_peak_303	chr8	129153983	129154676	+	1193.59	NA	Intergenic	NA	-8033	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
MACS_peak_192	chr2	216847173	216847748	+	1168.28	NA	intron (NM_018000, intron 2 of 4)	NA	30814	NM_018000	55686	Hs.620391	NM_018000	ENSG00000118242	MREG	DSU|WDT2	melanoregulin	protein-coding
MACS_peak_298	chr8	103612935	103613715	+	1078.58	NA	Intergenic	NA	49508	NM_024410	4956	Hs.159274	NM_024410	ENSG00000155087	ODF1	CT133|HSPB10|ODF|ODF2|ODF27|ODFP|ODFPG|ODFPGA|ODFPGB|RT7|SODF	outer dense fiber of sperm tails 1	protein-coding
MACS_peak_144	chr17	80550539	80551485	+	1032.25	NA	intron (NM_004514, intron 8 of 8)	NA	55308	NM_019613	56270	Hs.132161	NM_019613	ENSG00000141580	WDR45B	NEDSBAS|WDR45L|WIPI-3|WIPI3	WD repeat domain 45B	protein-coding
MACS_peak_242	chr4	89255997	89256545	+	966.95	NA	intron (NR_134238, intron 3 of 4)	NA	-43620	NM_017912	55008	Hs.529317	NM_017912	ENSG00000138642	HERC6	-	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	protein-coding
MACS_peak_288	chr8	22596520	22597095	+	956.12	NA	intron (NM_001363233, intron 4 of 6)	NA	-45814	NM_004430	1960	Hs.534313	NM_004430	ENSG00000179388	EGR3	EGR-3|PILOT	early growth response 3	protein-coding
MACS_peak_139	chr17	55977078	55977674	+	864.22	NA	intron (NM_001271875, intron 1 of 10)	NA	3374	NM_001292025	404093	Hs.46679	NM_001271875	ENSG00000180891	CUEDC1	-	CUE domain containing 1	protein-coding
MACS_peak_161	chr19	47840050	47840564	+	821.45	NA	promoter-TSS (NM_018485)	NA	-45	NM_018485	27202	Hs.534412	NM_018485	ENSG00000134830	C5AR2	C5L2|GPF77|GPR77	complement component 5a receptor 2	protein-coding
MACS_peak_93	chr14	91742672	91743210	+	731.30	NA	intron (NM_001080414, intron 29 of 29)	NA	-22717	NM_001348437	8111	Hs.8882	NM_003485	ENSG00000119714	GPR68	AI2A6|GPR12A|OGR1	G protein-coupled receptor 68	protein-coding
MACS_peak_165	chr2	11638610	11639114	+	647.12	NA	Intergenic	NA	-32559	NM_001278277	1876	Hs.603093	NM_198256	ENSG00000169016	E2F6	E2F-6	E2F transcription factor 6	protein-coding
MACS_peak_154	chr19	16574632	16575167	+	647.12	NA	intron (NM_021235, intron 1 of 22)	NA	7882	NM_001258374	58513	Hs.654639	NM_021235	ENSG00000127527	EPS15L1	EPS15R	epidermal growth factor receptor pathway substrate 15 like 1	protein-coding
MACS_peak_318	chrX	16680316	16680828	+	645.96	NA	intron (NM_001144002, intron 13 of 18)	NA	12291	NM_004057	795	Hs.639	NM_004057	ENSG00000169906	S100G	CABP|CABP1|CABP9K|CALB3	S100 calcium binding protein G	protein-coding
MACS_peak_89	chr14	67946736	67947218	+	615.19	NA	intron (NM_001348548, intron 2 of 2)	NA	8461	NM_001348543	161145	Hs.509707	NM_182526	ENSG00000198133	TMEM229B	C14orf83	transmembrane protein 229B	protein-coding
MACS_peak_140	chr17	56716968	56717444	+	614.42	NA	intron (NM_198393, intron 2 of 32)	NA	52210	NM_001201457	56155	Hs.390221	NM_031272	ENSG00000121101	TEX14	CT113|SPGF23	testis expressed 14, intercellular bridge forming factor	protein-coding
MACS_peak_160	chr19	41426924	41427603	+	587.28	NA	Intergenic	NA	-2907	NR_001278	1556	Hs.529117	NR_001278	ENSG00000256612	CYP2B7P	CYP2B|CYP2B7|CYP2B7P1	cytochrome P450 family 2 subfamily B member 7, pseudogene	pseudo
MACS_peak_118	chr16	14464029	14464493	+	562.16	NA	promoter-TSS (NR_131191)	NA	-138	NR_131191	105447648	Hs.554151	NR_131191	ENSG00000260009	LINC02130	-	long intergenic non-protein coding RNA 2130	ncRNA
MACS_peak_98	chr15	31733080	31733639	+	545.29	NA	Intergenic	NA	114321	NM_015995	51621	Hs.376443	NM_015995	ENSG00000169926	KLF13	BTEB3|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel like factor 13	protein-coding
MACS_peak_39	chr10	117424119	117424699	+	545.29	NA	intron (NM_207303, intron 26 of 28)	NA	529892	NR_145811	109623470		NR_145811		SNORD158	-	small nucleolar RNA, C/D box 158	snoRNA
MACS_peak_51	chr11	76483576	76484103	+	539.59	NA	Intergenic	NA	-9518	NM_001258210	25987	Hs.8361	NM_015516	ENSG00000182704	TSKU	E2IG4|LRRC54|TSK	tsukushi, small leucine rich proteoglycan	protein-coding
MACS_peak_244	chr4	143536391	143536926	+	534.92	NA	intron (NM_003866, intron 2 of 26)	NA	231030	NM_003866	8821	Hs.176376	NM_003866	ENSG00000109452	INPP4B	-	inositol polyphosphate-4-phosphatase type II B	protein-coding
MACS_peak_221	chr3	50642467	50642925	+	480.04	NA	Intergenic	NA	6509	NM_013324	1154	Hs.655334	NM_013324	ENSG00000114737	CISH	BACTS2|CIS|CIS-1|G18|SOCS	cytokine inducible SH2 containing protein	protein-coding
MACS_peak_187	chr2	171095164	171095721	+	464.48	NA	intron (NR_045682, intron 7 of 35)	NA	60785	NR_045683	140469	Hs.671900	NM_138995	ENSG00000071909	MYO3B	-	myosin IIIB	protein-coding
