PeakID (cmd=annotatePeaks.pl ESR1_T2D.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_208	chr12	116828057	116828759	+	3100.00	NA	Intergenic	NA	37715	NR_039683	100616309		NR_039683	ENSG00000264037	MIR4472-2	-	microRNA 4472-2	ncRNA
MACS_peak_199	chr12	89858596	89859195	+	3076.22	NA	intron (NR_037659, intron 8 of 11)	NA	59678	NM_003774	8693	Hs.25130	NM_003774	ENSG00000257594	GALNT4	GALNAC-T4|GALNACT4	polypeptide N-acetylgalactosaminyltransferase 4	protein-coding
MACS_peak_906	chr8	129154018	129154699	+	2757.99	NA	Intergenic	NA	-8004	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
MACS_peak_897	chr8	116879540	116880143	+	2363.21	NA	Intergenic	NA	-198639	NM_001330599	7227	Hs.657018	NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	transcriptional repressor GATA binding 1	protein-coding
MACS_peak_382	chr17	38478426	38479022	+	2297.71	NA	intron (NM_001145302, intron 1 of 6)	NA	4227	NM_001145301	5914	Hs.654583	NM_000964	ENSG00000131759	RARA	NR1B1|RAR	retinoic acid receptor alpha	protein-coding
MACS_peak_889	chr8	103612993	103613582	+	1902.21	NA	Intergenic	NA	49470	NM_024410	4956	Hs.159274	NM_024410	ENSG00000155087	ODF1	CT133|HSPB10|ODF|ODF2|ODF27|ODFP|ODFPG|ODFPGA|ODFPGB|RT7|SODF	outer dense fiber of sperm tails 1	protein-coding
MACS_peak_132	chr10	117424141	117424649	+	1759.83	NA	intron (NM_207303, intron 26 of 28)	NA	529906	NR_145811	109623470		NR_145811		SNORD158	-	small nucleolar RNA, C/D box 158	snoRNA
MACS_peak_868	chr8	22596466	22597083	+	1701.12	NA	intron (NM_001363233, intron 4 of 6)	NA	-45781	NM_004430	1960	Hs.534313	NM_004430	ENSG00000179388	EGR3	EGR-3|PILOT	early growth response 3	protein-coding
MACS_peak_542	chr2	216847133	216847761	+	1605.13	NA	intron (NM_018000, intron 2 of 4)	NA	30827	NM_018000	55686	Hs.620391	NM_018000	ENSG00000118242	MREG	DSU|WDT2	melanoregulin	protein-coding
MACS_peak_463	chr2	11638605	11639171	+	1537.26	NA	Intergenic	NA	-32585	NM_001278277	1876	Hs.603093	NM_198256	ENSG00000169016	E2F6	E2F-6	E2F transcription factor 6	protein-coding
MACS_peak_451	chr19	41426842	41427700	+	1494.74	NA	Intergenic	NA	-2899	NR_001278	1556	Hs.529117	NR_001278	ENSG00000256612	CYP2B7P	CYP2B|CYP2B7|CYP2B7P1	cytochrome P450 family 2 subfamily B member 7, pseudogene	pseudo
MACS_peak_383	chr17	38604764	38605335	+	1297.93	NA	intron (NM_001552, intron 1 of 3)	NA	5347	NM_001552	3487	Hs.462998	NM_001552	ENSG00000141753	IGFBP4	BP-4|HT29-IGFBP|IBP4|IGFBP-4	insulin like growth factor binding protein 4	protein-coding
MACS_peak_953	chr9	130809419	130809855	+	1262.36	NA	Intergenic	NA	19962	NM_197956	203245	Hs.373606	NM_197956	ENSG00000171169	NAIF1	C9orf90|bA379C10.2	nuclear apoptosis inducing factor 1	protein-coding
MACS_peak_158	chr11	76483583	76484063	+	1234.83	NA	Intergenic	NA	-9534	NM_001258210	25987	Hs.8361	NM_015516	ENSG00000182704	TSKU	E2IG4|LRRC54|TSK	tsukushi, small leucine rich proteoglycan	protein-coding
MACS_peak_725	chr4	143536438	143536883	+	1219.99	NA	intron (NM_003866, intron 2 of 26)	NA	231028	NM_003866	8821	Hs.176376	NM_003866	ENSG00000109452	INPP4B	-	inositol polyphosphate-4-phosphatase type II B	protein-coding
MACS_peak_964	chrX	16680363	16680912	+	1195.58	NA	intron (NM_001144002, intron 13 of 18)	NA	12356	NM_004057	795	Hs.639	NM_004057	ENSG00000169906	S100G	CABP|CABP1|CABP9K|CALB3	S100 calcium binding protein G	protein-coding
MACS_peak_329	chr16	4202213	4202832	+	1112.07	NA	Intergenic	NA	-36079	NM_001116	115	Hs.391860	NM_001116	ENSG00000162104	ADCY9	AC9|ACIX	adenylate cyclase 9	protein-coding
MACS_peak_247	chr14	67946645	67947239	+	1095.19	NA	intron (NM_001348548, intron 2 of 2)	NA	8496	NM_001348543	161145	Hs.509707	NM_182526	ENSG00000198133	TMEM229B	C14orf83	transmembrane protein 229B	protein-coding
MACS_peak_288	chr15	31733081	31733643	+	1081.12	NA	Intergenic	NA	114324	NM_015995	51621	Hs.376443	NM_015995	ENSG00000169926	KLF13	BTEB3|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel like factor 13	protein-coding
