PeakID (cmd=annotatePeaks.pl ESR1_WTE.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_3744	chr2	65526927	65528076	+	3218.75	NA	NA	NA	66411	NM_001128210	200734	Hs.59332	NM_181784	ENSG00000198369	SPRED2	Spred-2	sprouty related EVH1 domain containing 2	protein-coding
MACS_peak_5896	chr6	30719235	30720031	+	3217.75	NA	NA	NA	-7309	NM_003897	8870	Hs.76095	NM_003897	ENSG00000137331	IER3	DIF-2|DIF2|GLY96|IEX-1|IEX-1L|IEX1|PRG1	immediate early response 3	protein-coding
MACS_peak_6381	chr7	101615661	101617098	+	3217.62	NA	NA	NA	155473	NM_181552	1523	Hs.191482	NM_001913	ENSG00000257923	CUX1	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GDDI|GOLIM6|Nbla10317|p100|p110|p200|p75	cut like homeobox 1	protein-coding
MACS_peak_4944	chr3	61792914	61794126	+	3201.16	NA	NA	NA	246275	NM_002841	5793	Hs.595541	NM_002841	ENSG00000144724	PTPRG	HPTPG|PTPG|R-PTP-GAMMA|RPTPG	protein tyrosine phosphatase receptor type G	protein-coding
MACS_peak_6921	chr9	90959066	90960002	+	3196.90	NA	NA	NA	-43825	NM_006717	10927	Hs.146804	NM_006717	ENSG00000106723	SPIN1	SPIN|TDRD24	spindlin 1	protein-coding
MACS_peak_1710	chr12	125477697	125479021	+	3179.41	NA	NA	NA	168	NM_080626	140707	Hs.596464	NM_080626	ENSG00000184992	BRI3BP	BNAS1|HCCR-1|HCCR-2|HCCRBP-1|HCCRBP-3|KG19	BRI3 binding protein	protein-coding
MACS_peak_6118	chr6	157148145	157149106	+	3171.14	NA	NA	NA	-47760	NR_039676	100616154		NR_039676	ENSG00000271899	MIR4466	mir-4466	microRNA 4466	ncRNA
MACS_peak_3358	chr19	7968525	7969474	+	3133.88	NA	NA	NA	237	NM_001297556	5609	Hs.531754	NM_145185	ENSG00000076984	MAP2K7	JNKK2|MAPKK7|MEK|MEK 7|MKK7|PRKMK7|SAPKK-4|SAPKK4	mitogen-activated protein kinase kinase 7	protein-coding
MACS_peak_1630	chr12	116932890	116933573	+	3126.28	NA	NA	NA	-37996	NR_027345	100287569	Hs.441601	NM_207436	ENSG00000196668	LINC00173	NCRNA00173	long intergenic non-protein coding RNA 173	ncRNA
MACS_peak_5809	chr6	6703761	6704553	+	3122.30	NA	NA	NA	-81098	NR_026970	285780	Hs.655737	NM_173675	ENSG00000216863	LY86-AS1	LY86-AS|LY86AS	LY86 antisense RNA 1	ncRNA
MACS_peak_4740	chr22	43130083	43130972	+	3115.99	NA	NA	NA	-13220	NM_001318038	53947	Hs.105956	NM_017436	ENSG00000128274	A4GALT	A14GALT|A4GALT1|Gb3S|P(k)|P1|P1PK|PK	alpha 1,4-galactosyltransferase (P blood group)	protein-coding
MACS_peak_3545	chr19	47839820	47840585	+	3110.08	NA	NA	NA	-150	NM_018485	27202	Hs.534412	NM_018485	ENSG00000134830	C5AR2	C5L2|GPF77|GPR77	complement component 5a receptor 2	protein-coding
MACS_peak_5754	chr5	167743080	167743956	+	3100.00	NA	NA	NA	24868	NM_001161662	23286	Hs.484047	NM_015238	ENSG00000113645	WWC1	HBEBP3|HBEBP36|KIBRA|MEMRYQTL|PPP1R168	WW and C2 domain containing 1	protein-coding
MACS_peak_5866	chr6	17393638	17394788	+	3100.00	NA	NA	NA	387	NM_006366	10486	Hs.132902	NM_006366	ENSG00000112186	CAP2	-	cyclase associated actin cytoskeleton regulatory protein 2	protein-coding
MACS_peak_3614	chr2	11638065	11639503	+	3100.00	NA	NA	NA	-32481	NM_001278277	1876	Hs.603093	NM_198256	ENSG00000169016	E2F6	E2F-6	E2F transcription factor 6	protein-coding
MACS_peak_5772	chr5	173910012	173910918	+	3100.00	NA	NA	NA	147108	NR_125806	101928176	Hs.436014	NR_125806	ENSG00000249306	LINC01411	-	long intergenic non-protein coding RNA 1411	ncRNA
MACS_peak_6186	chr7	2578727	2579869	+	3100.00	NA	NA	NA	12590	NR_039791	100616116		NR_039791	ENSG00000264357	MIR4648	-	microRNA 4648	ncRNA
MACS_peak_6720	chr8	103612787	103613992	+	3100.00	NA	NA	NA	49572	NM_024410	4956	Hs.159274	NM_024410	ENSG00000155087	ODF1	CT133|HSPB10|ODF|ODF2|ODF27|ODFP|ODFPG|ODFPGA|ODFPGB|RT7|SODF	outer dense fiber of sperm tails 1	protein-coding
MACS_peak_7078	chr9	130788958	130789684	+	3100.00	NA	NA	NA	40278	NM_197956	203245	Hs.373606	NM_197956	ENSG00000171169	NAIF1	C9orf90|bA379C10.2	nuclear apoptosis inducing factor 1	protein-coding
MACS_peak_1060	chr11	2214149	2215097	+	3100.00	NA	NA	NA	20330	NR_039834	100616126		NR_039834	ENSG00000265258	MIR4686	-	microRNA 4686	ncRNA
MACS_peak_5520	chr5	16588191	16589707	+	3100.00	NA	NA	NA	-27086	NR_109946	101929524	Hs.734029	NR_109946	ENSG00000246214	LOC101929524	-	uncharacterized LOC101929524	ncRNA
MACS_peak_706	chr10	29413754	29414361	+	3100.00	NA	NA	NA	-163942	NM_032517	84569	Hs.558572	NM_032517	ENSG00000120563	LYZL1	KAAG648|LYC2|LYZD1|PRO1278|bA534G20.1	lysozyme like 1	protein-coding
MACS_peak_3515	chr19	41426455	41427963	+	3100.00	NA	NA	NA	-2961	NR_001278	1556	Hs.529117	NR_001278	ENSG00000256612	CYP2B7P	CYP2B|CYP2B7|CYP2B7P1	cytochrome P450 family 2 subfamily B member 7, pseudogene	pseudo
MACS_peak_964	chr10	117423907	117424777	+	3100.00	NA	NA	NA	529959	NR_145811	109623470		NR_145811		SNORD158	-	small nucleolar RNA, C/D box 158	snoRNA
