"gname.list"	"g.order"
"chr1_1009367"	1
"chr1_23857476"	8
"chr1_38259098"	17
"chr1_51796206"	26
"chr1_94374389"	33
"chr1_108742039"	34
"chr1_145726718"	38
"chr1_150954406"	40
"chr1_150980583"	42
"chr1_151762678"	43
"chr1_154301938"	44
"chr1_169455098"	49
"chr1_173446167"	51
"chr1_178695013"	53
"chr1_182993063"	59
"chr1_211432369"	65
"chr1_212251476"	66
"chr1_234860650"	70
"chr1_247267822"	72
"chr10_5727316"	74
"chr10_75911531"	97
"chr10_97667680"	103
"chr10_99331586"	104
"chr10_103880348"	107
"chr10_115999176"	112
"chr10_121302415"	115
"chr11_67805830"	135
"chr11_116707086"	147
"chr12_12420097"	153
"chr12_31811949"	155
"chr12_39837102"	156
"chr12_65005017"	166
"chr12_96794333"	171
"chr12_113659734"	180
"chr12_125478359"	190
"chr13_41363832"	198
"chr13_48575568"	201
"chr13_113623220"	203
"chr14_23541458"	209
"chr14_50459834"	215
"chr14_55738652"	219
"chr14_68000489"	224
"chr14_74485856"	230
"chr14_75389169"	231
"chr14_77840858"	235
"chr14_91884690"	237
"chr14_96505364"	241
"chr14_105864572"	246
"chr15_30115384"	248
"chr15_33360258"	250
"chr15_44486991"	255
"chr15_57884002"	258
"chr15_64338295"	260
"chr15_75081604"	265
"chr15_75230010"	266
"chr15_76603411"	268
"chr15_83621105"	269
"chr16_2769414"	290
"chr16_2794889"	291
"chr16_2880338"	292
"chr16_4421660"	295
"chr16_8892190"	298
"chr16_14464167"	301
"chr16_23160033"	304
"chr16_30086678"	308
"chr16_85339869"	326
"chr16_87868203"	328
"chr17_7255259"	338
"chr17_48942978"	345
"chr17_55163071"	349
"chr17_56033092"	350
"chr17_57409695"	352
"chr17_59476935"	354
"chr17_66288395"	359
"chr17_75283234"	367
"chr17_79868840"	373
"chr17_80192894"	374
"chr18_108978"	378
"chr18_12948405"	383
"chr19_1513359"	389
"chr19_7953520"	394
"chr19_7969057"	395
"chr19_11639682"	397
"chr19_16045936"	408
"chr19_18392565"	412
"chr19_18943598"	413
"chr19_19174231"	415
"chr19_35491298"	419
"chr19_37064081"	426
"chr19_39900285"	428
"chr19_40972131"	430
"chr19_47288010"	436
"chr19_47840202"	437
"chr2_7058005"	446
"chr2_11679887"	448
"chr2_33171267"	454
"chr2_38152540"	455
"chr2_38303439"	456
"chr2_38742139"	457
"chr2_42588025"	459
"chr2_74669190"	465
"chr2_98703668"	469
"chr2_101868990"	472
"chr2_134877729"	479
"chr2_169439208"	483
"chr2_177502683"	488
"chr2_232572579"	494
"chr20_2188556"	499
"chr20_19264327"	501
"chr20_24450295"	506
"chr20_43343288"	517
"chr20_48429133"	518
"chr20_48598588"	520
"chr20_55204479"	522
"chr20_60942855"	524
"chr20_60981773"	525
"chr21_38640308"	537
"chr21_40817753"	540
"chr21_43187349"	542
"chr21_43786722"	545
"chr21_45660765"	548
"chr22_21271179"	554
"chr22_37585286"	562
"chr22_38142830"	564
"chr22_38577032"	565
"chr22_41865296"	568
"chr22_43796048"	570
"chr3_20227799"	575
"chr3_33759913"	578
"chr3_47205940"	584
"chr3_53880420"	587
"chr3_140660466"	599
"chr3_156391986"	605
"chr3_178789525"	610
"chr3_196014423"	613
"chr4_2421275"	619
"chr4_3465096"	620
"chr4_83812536"	631
"chr4_153857306"	641
"chr4_159726789"	642
"chr4_184719084"	647
"chr5_19885386"	651
"chr5_174178703"	670
"chr5_176450689"	673
"chr6_3226965"	677
"chr6_3457638"	678
"chr6_17394213"	682
"chr6_44191486"	695
"chr6_88117770"	701
"chr6_117803896"	706
"chr6_125476162"	707
"chr6_125519131"	708
"chr6_134438524"	711
"chr6_150038801"	715
"chr6_166795602"	719
"chr7_16461223"	725
"chr7_26403573"	726
"chr7_56032676"	731
"chr7_91764232"	737
"chr7_97881540"	738
"chr7_149195127"	745
"chr7_156686115"	751
"chr8_17780785"	757
"chr8_91013678"	764
"chr8_98881744"	767
"chr8_110552487"	771
"chr8_144099574"	779
"chr9_1050381"	782
"chr9_37799871"	788
"chr9_95381047"	796
"chr9_95896917"	797
"chr9_97401548"	799
"chr9_102582214"	801
"chr9_132251094"	811
"chrX_153719318"	831
"chr1_1072130"	2
"chr1_2343430"	3
"chr1_6295365"	4
"chr1_7844759"	5
"chr1_24151733"	9
"chr1_27240767"	10
"chr1_31885789"	11
"chr1_32404290"	12
"chr1_32801571"	13
"chr1_32827769"	14
"chr1_33232068"	15
"chr1_36184488"	16
"chr1_40782252"	19
"chr1_43123457"	20
"chr1_45205196"	21
"chr1_47069233"	23
"chr1_51763432"	24
"chr1_55107151"	27
"chr1_60281001"	28
"chr1_67896383"	30
"chr1_89990481"	31
"chr1_94313126"	32
"chr1_110881094"	35
"chr1_112282121"	37
"chr1_147141853"	39
"chr1_150978980"	41
"chr1_155161776"	46
"chr1_166572820"	48
"chr1_169863678"	50
"chr1_180123611"	54
"chr1_180923031"	55
"chr1_182573041"	56
"chr1_182640558"	57
"chr1_182922820"	58
"chr1_183441283"	60
"chr1_203056059"	62
"chr1_204110559"	63
"chr1_204912764"	64
"chr1_223900221"	67
"chr1_228872046"	69
"chr10_180951"	73
"chr10_17685793"	75
"chr10_23728227"	77
"chr10_24496803"	78
"chr10_26505081"	79
"chr10_27528691"	80
"chr10_43477599"	83
"chr10_44274423"	84
"chr10_46993945"	85
"chr10_49865182"	87
"chr10_50747296"	88
"chr10_63808840"	89
"chr10_65225675"	90
"chr10_70748713"	91
"chr10_71029595"	92
"chr10_71075171"	93
"chr10_71076105"	94
